episode_id,segment_id,canonical_verb,start_time,end_time,duration,start_frame,end_frame_exclusive,cluster_id,distinctiveness_percentile,selection_reason,source_data_path
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000067,fold_clothes,67.0,68.0,1.0,2010,2040,fold_clothes__0,0.9627659574468085,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000073,fold_clothes,73.0,74.0,1.0,2190,2220,fold_clothes__0,0.6808510638297872,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000009,fold_clothes,9.0,10.0,1.0,270,300,fold_clothes__1,0.9946808510638298,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000036,fold_clothes,36.0,37.0,1.0,1080,1110,fold_clothes__1,0.7925531914893617,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000008,fold_clothes,8.0,9.0,1.0,240,270,fold_clothes__0,0.9893617021276596,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000012,fold_clothes,12.0,13.0,1.0,360,390,fold_clothes__1,0.7872340425531915,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000023,fold_clothes,23.0,24.0,1.0,690,720,fold_clothes__1,0.015957446808510637,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000038,fold_clothes,38.0,39.0,1.0,1140,1170,fold_clothes__1,0.9840425531914894,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000030,fold_clothes,30.0,31.0,1.0,900,930,fold_clothes__1,0.6063829787234043,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000000,fold_clothes,0.0,1.0,1.0,0,30,fold_clothes__1,0.03723404255319149,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000026,fold_clothes,26.0,27.0,1.0,780,810,fold_clothes__0,0.9787234042553191,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000003,fold_clothes,3.0,4.0,1.0,90,120,fold_clothes__1,0.31382978723404253,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000030,fold_clothes,30.0,31.0,1.0,900,930,fold_clothes__1,0.7606382978723404,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000049,fold_clothes,49.0,50.0,1.0,1470,1500,fold_clothes__1,0.973404255319149,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000093,fold_clothes,93.0,93.83333333333331,0.8333333333333334,2790,2815,fold_clothes__1,0.9680851063829787,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000055,fold_clothes,55.0,56.0,1.0,1650,1680,fold_clothes__1,0.9468085106382979,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000080,fold_clothes,80.0,81.0,1.0,2400,2430,fold_clothes__1,0.2978723404255319,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000019,fold_clothes,19.0,20.0,1.0,570,600,fold_clothes__1,0.7393617021276596,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000059,fold_clothes,59.0,60.0,1.0,1770,1800,fold_clothes__1,0.05851063829787234,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000060,fold_clothes,60.0,61.0,1.0,1800,1830,fold_clothes__1,0.46808510638297873,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000063,fold_clothes,63.0,64.0,1.0,1890,1920,fold_clothes__1,0.09042553191489362,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000040,fold_clothes,40.0,41.0,1.0,1200,1230,fold_clothes__1,0.9521276595744681,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000046,fold_clothes,46.0,47.0,1.0,1380,1410,fold_clothes__0,0.851063829787234,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000076,fold_clothes,76.0,77.0,1.0,2280,2310,fold_clothes__1,0.13297872340425532,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000025,fold_clothes,25.0,26.0,1.0,750,780,fold_clothes__1,0.9148936170212766,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000053,fold_clothes,53.0,54.0,1.0,1590,1620,fold_clothes__0,0.1702127659574468,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000010,fold_clothes,10.0,11.0,1.0,300,330,fold_clothes__1,0.9095744680851063,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000003,fold_clothes,3.0,4.0,1.0,90,120,fold_clothes__1,0.8723404255319149,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000089,fold_clothes,89.0,90.0,1.0,2670,2700,fold_clothes__1,0.4734042553191489,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000008,fold_clothes,8.0,9.0,1.0,240,270,fold_clothes__1,0.9414893617021277,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000029,fold_clothes,29.0,30.0,1.0,870,900,fold_clothes__1,0.35106382978723405,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000082,fold_clothes,82.0,83.0,1.0,2460,2490,fold_clothes__1,0.9308510638297872,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000037,fold_clothes,37.0,38.0,1.0,1110,1140,fold_clothes__1,0.925531914893617,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000027,fold_clothes,27.0,28.0,1.0,810,840,fold_clothes__1,0.8138297872340425,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000071,fold_clothes,71.0,72.0,1.0,2130,2160,fold_clothes__0,0.8776595744680851,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000041,fold_clothes,41.0,42.0,1.0,1230,1260,fold_clothes__1,0.8882978723404256,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000019,fold_clothes,19.0,20.0,1.0,570,600,fold_clothes__1,0.9202127659574468,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000062,fold_clothes,62.0,63.0,1.0,1860,1890,fold_clothes__0,0.5797872340425532,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000042,fold_clothes,42.0,43.0,1.0,1260,1290,fold_clothes__1,0.39361702127659576,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000002,fold_clothes,2.0,3.0,1.0,60,90,fold_clothes__1,0.2765957446808511,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000086,fold_clothes,86.0,87.0,1.0,2580,2610,fold_clothes__1,0.4574468085106383,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000083,fold_clothes,83.0,84.0,1.0,2490,2520,fold_clothes__0,0.9574468085106383,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000050,fold_clothes,50.0,51.0,1.0,1500,1530,fold_clothes__1,0.8829787234042553,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000007,fold_clothes,7.0,8.0,1.0,210,240,fold_clothes__1,0.7978723404255319,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000078,fold_clothes,78.0,79.0,1.0,2340,2370,fold_clothes__0,0.8085106382978723,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000035,fold_clothes,35.0,36.0,1.0,1050,1080,fold_clothes__1,0.8670212765957447,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000039,fold_clothes,39.0,40.0,1.0,1170,1200,fold_clothes__1,0.8031914893617021,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000057,fold_clothes,57.0,58.0,1.0,1710,1740,fold_clothes__1,0.2553191489361702,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000011,fold_clothes,11.0,12.0,1.0,330,360,fold_clothes__1,0.7074468085106383,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000020,fold_clothes,20.0,21.0,1.0,600,630,fold_clothes__0,0.8457446808510638,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000000,fold_clothes,0.0,1.0,1.0,0,30,fold_clothes__0,0.8297872340425532,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000016,fold_clothes,16.0,17.0,1.0,480,510,fold_clothes__1,0.7127659574468085,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000090,fold_clothes,90.0,91.0,1.0,2700,2730,fold_clothes__1,0.675531914893617,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000070,fold_clothes,70.0,71.0,1.0,2100,2130,fold_clothes__1,0.75,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000016,fold_clothes,16.0,17.0,1.0,480,510,fold_clothes__0,0.8351063829787234,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000082,fold_clothes,82.0,83.0,1.0,2460,2490,fold_clothes__1,0.7180851063829787,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
2025-09-20-17-47-54-000000,2025-09-20-17-47-54-000000:front_1:000018,fold_clothes,18.0,19.0,1.0,540,570,fold_clothes__1,0.6223404255319149,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-47-54-000000
2025-09-20-17-42-51-000000,2025-09-20-17-42-51-000000:front_1:000034,fold_clothes,34.0,35.0,1.0,1020,1050,fold_clothes__1,0.7021276595744681,facility_location_gain_per_second,/__modal/volumes/vo-UZL6XRNnGfsFjlpmHH9EJN/episodes/2025-09-20-17-42-51-000000
